"matching","logodds","df","set"
"nonmatch",-9.20956069697824,3,"S-10-09-02-01"
"nonmatch",-7.7679473570344,3,"S-10-09-02-01"
"nonmatch",-6.66120726240136,3,"S-10-09-02-01"
"nonmatch",-7.00474304429953,3,"S-10-09-02-01"
"nonmatch",-6.79817757469844,3,"S-10-09-02-01"
"nonmatch",-5.7683547058024,3,"S-10-09-02-01"
"nonmatch",-5.62417259481888,3,"S-10-09-02-01"
"nonmatch",-6.44396634430468,3,"S-10-09-02-01"
"nonmatch",-9.25846119700454,3,"S-10-09-02-01"
"nonmatch",-9.18810306506846,3,"S-10-09-02-01"
"nonmatch",-7.80638009965731,3,"S-10-09-02-01"
"nonmatch",-8.74557372747481,3,"S-10-09-02-01"
"nonmatch",-8.37899392148914,3,"S-10-09-02-01"
"match",13.13307517516,5,"K-9-9-01"
"nonmatch",-9.25423277044188,5,"K-9-9-01"
"nonmatch",-10.9056715311108,5,"K-9-9-01"
